a)
x	y
-0,719893171	0,137296573
-0,712042731	0,045081371
-0,559185024	-0,250555251
-0,324758518	-0,414096
-0,081178074	-0,444616367
-0,967528771	0,277846547
-0,612988492	-0,011138619
-0,461415806	-0,253660747
-0,249211714	-0,37734849
-0,900315314	0,250939396
-0,784615397	-0,169412185
-0,528542828	-0,442599419
-0,224652782	-0,54779269
0,048380962	-0,506183557
0,239242954	-0,365347119
0,327963492	-0,181966629
-1,131185397	0,172786651
-0,547525841	0,030885339
-0,780989664	0,087645864
-0,62861049	-0,245785009
-0,379429969	-0,438240803
-0,113070455	-0,484834997
0,108000453	-0,41370278
-1,043200181	0,265481112
-0,899024583	-0,215514427
-0,597052912	-0,523400798
-0,761178835	0,309360319
-0,695528466	-0,023744128
-0,721788614	0,109497651
-0,711284555	0,05620094
-0,715486178	0,077519624
-0,574777345	-0,227279557
-0,34591896	-0,402643401
-0,861632416	0,261057361
-0,759263581	-0,146249372
-0,518540572	-0,414854955
-0,228148853	-0,522705995
0,03568927	-0,488516097
-1,014275708	0,295406439
-0,594289717	-0,018162576
-0,444395155	-0,251519444
-0,822241938	0,200607778
-0,671103225	0,019756889
-0,73155871	0,092097244
-0,707376516	0,063161102
-0,717049394	0,074735559
-0,713180243	0,070105776
-0,570059295	-0,231991707
-0,340448381	-0,404337415
-0,863820647	0,261734966
-0,761197679	-0,146609685
-0,695520929	0,158643874
-0,592053455	-0,157639027
-0,763178618	0,163055611
-0,645237994	-0,181349183
-0,417841202	-0,395920577
-0,159191083	-0,468036119
-0,936323567	0,287214448
-0,625470573	-0,014885779
-0,749811771	0,105954312
-0,700075292	0,057618275
-0,719969883	0,07695269
-0,577958187	-0,229503909
-0,347446659	-0,405606246
-0,101816962	-0,44723941
-0,959273215	0,278895764
-0,840605949	-0,171748505
-0,66375762	0,168699402
-0,571935552	-0,137291503
-0,379754419	-0,333115763
-0,848098232	0,233246305
-0,660760707	0,006701478
-0,735695717	0,097319409
-0,705721713	0,061072236
-0,560777397	-0,235873786
-0,331841307	-0,403575036
-0,867263477	0,261430014
-0,653094609	-0,004572006
-0,738762156	0,101828802
-0,704495137	0,059268479
-0,718201945	0,076292608
-0,712719222	0,069482957
-0,714912311	0,072206817
-0,714035076	0,071117273
-0,571113567	-0,231564903
-0,34142035	-0,404434753
-0,097705565	-0,443938552
0,103319192	-0,376475525
0,229112796	-0,244793723
-1,091645118	0,197917489
-0,908817286	-0,286240756
-0,636473086	0,214496302
-0,569518066	-0,091572045
-0,772192774	0,136628818
-0,641518035	-0,205039208
-0,405538023	-0,412437012
-0,837784791	0,264974805
-0,742706363	-0,133733065
-0,51096361	-0,398719674
-0,228844474	-0,507412396
0,029043158	-0,477171211
0,212941285	-0,351032857
-1,085176514	0,240413143
-0,565929394	0,003834743
-0,431640237	-0,223457353
-0,238663639	-0,342483683
-0,044390892	-0,355753055
0,108564144	-0,288128678
-1,043425658	0,215251471
-0,879104088	-0,253779145
-0,566607449	-0,544513785
-0,77335702	0,317805514
-0,714873541	-0,067810617
-0,516179644	-0,337485486
-0,793528142	0,234994194
-0,682588743	0,006002322
-0,726964503	0,097599071
-0,591532651	-0,216610507
-0,76338694	0,186644203
-0,654831755	-0,163505182
-0,738067298	0,165402073
-0,704773081	0,033839171
-0,54916321	-0,256191462
-0,314887454	-0,414370795
-0,073566147	-0,440876786
-0,970573541	0,276350715
-0,611770584	-0,010540286
-0,755291767	0,104216114
